"address","location/lat","location/lng","name","numberOfGuests","pricing/rate/amount","pricing/rate/amount_formatted","pricing/rate/currency","pricing/rate/is_micros_accuracy","pricing/rate_type","pricing/rate_with_service_fee/amount","pricing/rate_with_service_fee/amount_formatted","pricing/rate_with_service_fee/currency","pricing/rate_with_service_fee/is_micros_accuracy","roomType","stars","url"
"Paris, Île-de-France, France","48.86406","2.28492","Tres Chic Trocadero Garden","6","6050","€6,050","EUR","false","nightly","6050","€6,050","EUR","false","Entire villa",,"https://www.airbnb.com/rooms/20471160"
"Paris, Île-de-France, France","48.867","2.304","Sweet Inn | Exclusive duplex near the Champs-Élysées","12","5040","€5,040","EUR","false","nightly","5040","€5,040","EUR","false","Entire rental unit","4.5","https://www.airbnb.com/rooms/41186444"
"Paris, Île-de-France, France","48.868","2.333","Hotel Edouard 7","0","9000","€9,000","EUR","false","nightly","9000","€9,000","EUR","false","Room in boutique hotel",,"https://www.airbnb.com/rooms/43095866"
"Paris, Île-de-France, France","48.874","2.358","Center Paris, Cozy 85 sqm, 7 min walk to Le Marais","6","8000","€8,000","EUR","false","nightly","8000","€8,000","EUR","false","Entire rental unit","5","https://www.airbnb.com/rooms/33383936"
"Paris, Île-de-France, France","48.876","2.295","Chambre Solo, Magda Champs Elysées","1","9000","€9,000","EUR","false","nightly","9000","€9,000","EUR","false","Room in boutique hotel",,"https://www.airbnb.com/rooms/42658975"
"Paris, Île-de-France, France","48.876","2.319","Hotel Maison Malesherbes","3","7000","€7,000","EUR","false","nightly","7000","€7,000","EUR","false","Room in hotel",,"https://www.airbnb.com/rooms/42534894"
"Paris, Île-de-France, France","48.87835","2.29414","Suite, Star Champs Elysées","4","7000","€7,000","EUR","false","nightly","7000","€7,000","EUR","false","Room in boutique hotel",,"https://www.airbnb.com/rooms/42812753"
"Paris, Île-de-France, France","48.86245","2.35972","Hotel Ecole Centrale, Twin Room","2","9247","€9,247","EUR","false","nightly","9247","€9,247","EUR","false","Room in boutique hotel",,"https://www.airbnb.com/rooms/36111675"
"Paris-14E-Arrondissement, Île-de-France, France","48.83846","2.32012","Luminous bedroom - Paris center","2","8792","€8,792","EUR","false","nightly","8792","€8,792","EUR","false","Private room in rental unit","4.5","https://www.airbnb.com/rooms/21752738"
"Boulogne-Billancourt, Île-de-France, France","48.84788","2.24079","Trendy Peaceful Flat / 300m of Roland Garros","2","7000","€7,000","EUR","false","nightly","7000","€7,000","EUR","false","Entire rental unit",,"https://www.airbnb.com/rooms/49743689"
